latitude,longitude,altitude(feet),ascent(feet),speed(mph),distance(feet),time(millisecond),datetime(utc),satellites,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet),compass_heading(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,flycStateRaw,flycState,message
37.613318,-119.020975,9011.172756,27.56000744,4.720010508,0,210,2017/07/27 21:17:06,14,0,9011.172756,27.56000744,4.720010508,0,283.5,0,0,1024,1024,1024,1024,0,0,97,3.964,4.004,3.994,3.978,0,0,17,Joystick,
37.613318,-119.020972,9011.172756,27.56000744,4.720010508,0.867043991,350,2017/07/27 21:17:06,14,0,9011.172756,27.56000744,4.720010508,0.867043991,283.8,0,0,1024,1024,1024,1024,0,0,97,3.964,4.004,3.994,3.978,0,0,17,Joystick,
37.613317,-119.020967,9010.842736,27.22998775,4.720010508,2.340725141,490,2017/07/27 21:17:06,14,0,9011.172756,27.56000744,4.720010508,2.340725141,284.4,0,0,1024,1024,1024,1024,0,0,97,3.964,4.004,3.994,3.978,0,0,17,Joystick,
37.613316,-119.020964,9010.842736,27.22998775,4.720010508,3.261827532,660,2017/07/27 21:17:06,14,0,9011.172756,27.56000744,4.720010508,3.261827532,284.6,0,0,1024,1024,1024,1024,0,0,97,3.964,4.004,3.994,3.978,0,0,17,Joystick,
37.613316,-119.020958,9010.842736,27.22998775,4.940013557,4.967126143,840,2017/07/27 21:17:06,14,0,9011.172756,27.56000744,4.940013557,4.967126143,284.6,0,0,1024,1024,1024,1024,0,0,97,3.964,4.004,3.994,3.978,0,0,17,Joystick,
37.613315,-119.020956,9010.512749,26.90000086,4.940013557,5.599311203,950,2017/07/27 21:17:06,14,0,9011.172756,27.56000744,4.940013557,5.599311203,284.6,0,0,1024,1024,1024,1024,0,0,97,3.964,4.004,3.994,3.978,0,0,17,Joystick,
37.613315,-119.020953,9010.512749,26.90000086,4.970010923,6.451837477,1060,2017/07/27 21:17:07,14,0,9011.172756,27.56000744,4.970010923,6.451837477,284.5,0,0,1024,1024,1024,1024,0,0,97,3.964,4.004,3.994,3.978,0,0,17,Joystick,
37.613315,-119.02095,9010.512749,26.90000086,4.750007874,7.307808633,1170,2017/07/27 21:17:07,14,0,9011.172756,27.56000744,4.970010923,7.307808633,284.4,0,0,1024,1024,1024,1024,0,0,97,3.964,4.004,3.994,3.978,0,0,17,Joystick,
37.613314,-119.020945,9010.182762,26.57001397,4.390017119,8.792388733,1290,2017/07/27 21:17:07,14,0,9011.172756,27.56000744,4.970010923,8.792388733,284.8,0,0,1024,1024,1024,1024,0,0,97,3.964,4.004,3.994,3.978,0,0,17,Joystick,
37.613313,-119.020943,9010.182762,26.57001397,4.030003996,9.42667353,1470,2017/07/27 21:17:07,14,0,9011.172756,27.56000744,4.970010923,9.42667353,285.1,0,0,1024,1024,1024,1024,0,0,97,3.964,4.004,3.994,3.978,0,0,17,Joystick,
37.613312,-119.020941,9010.182762,26.57001397,3.410013705,10.06738877,1590,2017/07/27 21:17:07,14,0,9011.172756,27.56000744,4.970010923,10.06738877,284.4,0,0,1024,1024,1024,1024,0,0,97,3.964,4.004,3.994,3.978,0,0,17,Joystick,
37.613311,-119.020938,9010.182762,26.57001397,1.910002271,10.99429169,1700,2017/07/27 21:17:07,14,0,9011.172756,27.56000744,4.970010923,10.99429169,283.7,0,0,1024,1024,1024,1024,0,0,97,3.964,4.004,3.994,3.978,0,0,17,Joystick,
37.613311,-119.020937,9010.512749,26.90000086,1.200001989,11.27559091,1830,2017/07/27 21:17:07,14,0,9011.172756,27.56000744,4.970010923,11.27559091,283.9,0,0,1024,1024,1024,1024,0,0,97,3.964,4.004,3.994,3.978,0,0,17,Joystick,
37.613311,-119.020937,9010.512749,26.90000086,0.670001558,11.27559091,2000,2017/07/27 21:17:07,14,23.906,9011.172756,27.56000744,4.970010923,11.27559091,284.3,0,0,1024,1024,1024,1024,0,0,97,3.964,4.004,3.994,3.978,0,0,17,Joystick,
37.613312,-119.020936,9010.842736,27.22998775,0.220000365,11.48218541,2100,2017/07/27 21:17:08,14,23.906,9011.172756,27.56000744,4.970010923,11.48218541,285.5,0,0,1024,1024,1024,1024,0,0,97,3.964,4.004,3.994,3.978,0,0,17,Joystick,
37.613312,-119.020936,9010.842736,27.22998775,0.500000829,11.48218541,2280,2017/07/27 21:17:08,14,23.906,9011.172756,27.56000744,4.970010923,11.48218541,286.1,0,0,1024,1024,1024,1024,0,0,97,3.964,4.004,3.994,3.978,0,0,17,Joystick,
37.613312,-119.020936,9011.172756,27.56000744,1.000001658,11.48218541,2380,2017/07/27 21:17:08,14,23.906,9011.172756,27.56000744,4.970010923,11.48218541,286.6,0,0,1024,1024,1024,1024,0,0,97,3.964,4.004,3.994,3.978,0,0,17,Joystick,
